Ano,Título ,Título original,Diretor(a),Gênero,País,Visto em,Nota
1996,Bogus: Meu amigo secreto,Bogus,Norman Jewison,Homem,EUA,-,2
2007,Meu monstro de estimação,The water horse,Jay Russell,Homem,EUA,-,"2,5"
2000,O pequeno vampiro,The little vampire,Uli Edel,Homem,EUA,-,"2,5"
2003,Sinbad: A lenda dos sete mares,Sinbad: Legend of seven seas,Patrick Gilmore; Tim Johnson,Homem,EUA,-,3
1984,O caça-fantasmas,Ghostbusters,Ivan Reitman,Homem,EUA,-,"2,5"
2008,Space Chimps - Micos no espaço,Space Chimps,Kirk DeMicco,Homem,EUA,-,3
1999,A turma do pateta - Uma turma do barulho,Goof Troop,Robert Taylor; Roy Willson; Hank Tucker; Ken Kessel,Homem,EUA,-,3
2000,Pateta 2 - Radicalmente pateta,An extremely goofy movie,Douglas McCarthy,Homem,EUA,-,3
2002,Cinderela II: Os sonhos se realizam,Cinderella II: Dreams come true,John H. Kafka,Homem,EUA,-,"2,5"
1999,O inspetor buginganga,Inspector Gadget,David Kellog,Homem,EUA,-,"3,5"
2000,Premonição,Final Destination,James Wong,Homem,EUA,-,2
2003,Premonição 2,Final Destination 2,David R. Ellis,Homem,EUA,-,2
2006,Premonição 3,Final Destination 3,James Wong,Homem,EUA,-,3
2009,Premonição 4,Final Destination 4,David R. Ellis,Homem,EUA,-,"2,5"
2011,Premonição 5,Final Destination 5,Steven Quale,Homem,EUA,-,2
2004,Chestnut: O herói de Central Park,Chestnut: Hero of Central Park,Robert Vince,Homem,EUA,-,3
2014,Deus não está morto,God's not dead,Harold Cronk,Homem,EUA,-,2
2002,Um ato de coragem,John Q,Nick Cassavetes,Homem,EUA,-,4
2004,A paixão de cristo,The passion of christ,Mel Gibson,Homem,EUA,-,3
1998,Pleasantville - A vida em preto e branco,Pleasantville,Gary Ross,Homem,EUA,-,4
2008,Os mosconautas no mundo da lua,Fly to the moon,Ben Stassen,Homem,EUA,-,"1,5"
2014,Hoje não quero voltar sozinho,Hoje não quero voltar sozinho,Daniel Ribeiro,Homem,Brasil,-,5
1993,Paixão sem limites,The crush,Alan Shapiro,Homem,EUA,-,"4,5"
2011,Cada um tem a gêmea que merece,Jack and Jill,Dennis Dugan,Homem,EUA,-,3
2011,O zelador animal,Zookeper,Frank Coraci,Homem,EUA,-,3
2006,Garota Formosa,Phat Girlz,Nnegest Likké,Mulher,EUA,-,"3,5"
2002,Tom & Jerry: O anel mágico,Tom & Jerry: The magic ring,James T. Walker; Julie McNally Cahill,Ambos,EUA,-,3
1999,Bebês Geniais,Baby geniuses,Bob Clark,Homem,EUA,-,"1,5"
1980,A lagoa azul,The blue lagoon,Randal Kleiser,Homem,EUA,-,3
1992,1492 - A conquista do paraíso,1492: Conquest of paradise,Ridley Scott,Homem,EUA,-,3
2011,Diário de um banana 2: Rodrick é o cara,Diary of a Wimpy Kid: Rodrick Rules,David Bowers,Homem,EUA,-,2
1994,Os Flintstones,The Flintstones,Brian Levant,Homem,EUA,-,2
1995,As namoradas do papai,It takes Two,Andy Tennant,Homem,EUA,-,2
2008,Bolt - O supercão,Bolt,Byron Howard; Chris William,Homem,EUA,-,2
2007,Harry Potter e a Ordem da Fênix,Harry Potter and the order of the phoenix,David Yates,Homem,Inglaterra,-,3
2005,Miss Simpatia 2: Armada e poderosa,Miss Congeniality 2: Armed and Fabulous,John Pasquin,Homem,EUA,-,2
2002,Barbie Rapunzel,Barbie as Rapunzel,Owen Hurley,Homem,EUA,-,"3,5"
2009,Três espiãs demais,Totally Spies! Le film,Pascal Jardin,Homem,EUA,-,3
1988,Em busca do vale encantado,The land before time,Don Bluth,Homem,EUA,-,"3,5"
1997,O mentiroso,Liar Liar,Tom Shadyac,Homem,EUA,-,"3,5"
1988,Um príncipe em Nova York,Coming to America,John Landis,Homem,EUA,-,3
2003,Duplex,Duplex,Danny DeVito,Homem,EUA,-,"2,5"
2004,O terminal,Te terminal,Steven Spielberg,Homem,EUA,-,3
2011,Bullying virtual,Cyberbully,Charles Binamé,Homem,EUA,-,"2,5"
2001,Não é mais um besteirol americano,Not another teen movie,Joel Gallen,Homem,EUA,-,2
2002,Casamento grego,My big fat greek Wedding,Joel Zwick,Homem,EUA,-,"2,5"
2001,Olhos famintos,Jeepers Creepers,Victor Salva,Homem,EUA,-,"2,5"
2011,Os descententes,The descendants,Alexander Payne,Homem,EUA,-,3
2011,Você não pode beijar a noiva,You may not kiss the bride,Rob Hedden,Homem,EUA,-,"2,5"
2006,O ex-namorado da minha mulher,Fast track,Jesse Peretz,Homem,EUA,-,3
2001,Xuxa e os duendes,Xuxa e os duendes,Paulo Sérgio de Almeida; Rogério Gomes,Homem,Brasil,-,2
2002,Xuxa e os duendes 2: No caminho das fadas,Xuxa e os duendes 2: No caminho das fadas,Paulo Sérgio de Almeida; Rogério Gomes,Homem,Brasil,-,2
1993,Mudança de hábito 2: Mais confusões no convento,Sister Act 2: Back in the habit,Bill Duke,Homem,EUA,-,3
1995,"Gasparzinho, o fantasma camarada",Casper,Brad Silberling,Homem,EUA,-,3
1997,Gasparzinho: Como tudo começou,Casper: A spirited begining,Sean McNamara,Homem,EUA,-,3
1999,A múmia,The mummy,Stephen Sommers,Homem,EUA,-,3
1996,Sabrina: Aprendiz de feiticeira,Sabrina the teenage witch,Tibor Takács,Homem,EUA,-,3
1994,Ninguém segura esse bebê,Baby's day out,Patrick Read Johnson,Homem,EUA,-,3
1989,K-9 - Um policial bom para cachorro,K-9,Rod Daniel,Homem,EUA,-,3
1985,As aventuras de Pee-Wee,Pee-Wee's Big adventure,Tim Burton,Homem,EUA,-,2
2009,Os feiticeiros de Waverly Place: O filme,Wizards of Waverley Place: The movie,Lev L. Spiro,Homem,EUA,-,2
1999,Xuxa Requebra,Xuxa Requebra,Tizuka Yamasaki,Homem,Brasil,-,2
2000,Xuxa Popstar,Xuxa Popstar,Paulo Sérgio de Almeida; Tizuka Yamasaki,Homem,Brasil,-,2
2010,As múmias do faraó,Les Aventures Extraordinaires d'Adèle Blanc-Sec,Luc Beson,Homem,França,-,"2,5"
2003,101 dálmatas II- A aventura de Patch em Londres,101 dalmatians II - Patch's London Adventures,Brian Smith; Jim Kammerud,Homem,EUA,-,2
1976,King Kong,King Kong,John Guillermin,Homem,EUA,-,"2,5"
2004,"Turma da Mônica em CineGibi, O filme","Turma da Mônica em CineGibi, O filme",José Márcio Nicolosi; Maurício de Souza,Homem,Brasil,-,"2,5"
1996,As aventuras de Pinnocchio,The adventures of Pinnocchio,Steve Barron,Homem,EUA,-,"2,5"
2006,Dreamgirls - Em busca de um sonho,Dreamgirls,Bill Cordon,Homem,EUA,-,"3,5"
2004,Um encontro com seu ídolo,Win a date with Tad Hilmiton,Robert Luketic,Homem,EUA,-,2
2005,O homem da casa,Man of the house,Stephen Herek,Homem,EUA,-,"2,5"
1994,Um sonho de liberdade,The Shawshank redemption,Frank Darabont,Homem,EUA,-,5
2002,O chamado,The Ring,Gore Verbinski,Homem,EUA,-,3
2008,Nem por cima do meu cadáver,Over her dead body,Jeff Lowell,Homem,EUA,-,2
2009,Recém-formada,Post Grad,Vicky Jenson,Homem,EUA,-,3
2004,A filha do presidente,First daughter,Forest Whitaker,Homem,EUA,-,"2,5"
2003,Lizzie McGuire - Um sonho popstar,The lizzie McGuire Movie,Jim Fall,Homem,EUA,-,2
2002,93,Mr. Deeds,Steven Brill,Homem,EUA,-,3
2002,Minority Report - A nova lei,Minority Report,Steven Spielberg,Homem,EUA,-,3
2002,Prenda-me se for capaz,Catch me if you can,Steven Spielberg,Homem,EUA,-,3
1997,A vida é bela,La vita è bella,Roberto Benigni,Homem,Itália,-,4
2008,Fim dos Tempos,The happening,M. Night Shyamalan,Homem,EUA,-,2
2013,Será que?,The F word,Michael Dowse,Homem,EUA,-,2
1994,Ace ventura: Um detetive diferente,Ace Venture: Pet detective,Tom Shadyac,Homem,EUA,-,"2,5"
1994,Dabi & Loide - Dois idiotas em apuros,Dumb & Dumber,Bobby Farrelly; Peter Farrelly,Homem,EUA,-,2
1999,Nas profundezas do mar sem fim,The deep end of the ocean,Ulu Grosbard,Homem,EUA,-,5
2001,Atlantis - O reino perdido,Alantis: The lost empire,Gary Trousdale; Kirk Wise,Homem,EUA,-,3
2013,Jogos Vorazes: Em chama,The Hunger Games: Catching Fire,Francis Lawrence,Homem,EUA,2013,3
2012,Jogo Vorazes,The hungers games,Gary Ross,Homem,EUA,2014,"2,5"
2012,O espetacular Homem-Aranha,The Amazing Spider-Man,Marc Webb,Homem,EUA,2014,0.5
2014,O espetacular Homem-Aranha 2: A ameaça de Electro,The Amazing Spider-Man 2,Marc Webb,Homem,EUA,2014,2.5
2007,Eu sou a lenda,I'm legend,Francis Lawrence,Homem,EUA,2014,2
2005,De bico calado,Keeping Mum,Nial Johnson,Homem,EUA,2014,3
2013,Jackass apresenta: vovô sem vergonha,Jackass Presents: Bad Grandpa,Jeff Tremaine,Homem,EUA,2014,2
1994,Forrest Gump: O contador de histórias,Forrest Gump,Robert Zemeckis,Homem,EUA,2014,5
2014,Quero matar meu chefe 2,Horrible Bosses 2,Sean Anders,Homem,EUA,2014,3
1999,Nunca fui beijada,Never been kissed,Raja Gosnell,Homem,EUA,2014,3
2012,A escolha perfeita,Pitch Perfect,Jason Moore,Homem,EUA,2014,"2,5"
2012,Django Livre,Django unchained,Quentin Tarantino,Homem,EUA,2014,3
2003,Como perder um homem em 10 dias,How to lose a guy in 10 days,Donald Petrie,Homem,EUA,2014,3
2012,Zarafa,Zarafa,Rémi Bezançon,Homem,França,2014,5
2006,O amor não tira férias,The holiday,Nancy Meyers,Mulher,EUA,2014,"3,5"
2003,Tratamento de choque,Anger Management,Peter Segal,Homem,EUA,2014,3
2013,Última viagem em vegas,Last Vegas,Jon Turteltaub,Homem,EUA,2014,3
2010,Um gato em Paris,Une vie de chat,Alain Gagnol; Jean-Loup Felicioli,Homem,França,2014,4
2013,Bons de bico,Free birds,Jimmy Hayward,Homem,EUA,2014,2
2013,Os Croods,The groods,Chris Sanders; Kirk DeMicco,Homem,EUA,2014,3
2010,O mundo dos pequeninos,Karigurashi no Arrietty,Hiromasa Yonebayashi,Homem,Japão,2014,5
2013,Aviões,Planes,Klay Hall,Homem,EUA,2014,2
2009,Ano um,Year one,Harold Ramis,Homem,EUA,2014,2
2007,"Good Copy, Bad Copy","Good Copy, Bad Copy",Andreas Johnsen; Henrik Moltke; Ralf Christensen,Homem,Dinamarca,2014,"2,5"
2011,"Se beber, não case! - Parte II",The hangover - part II,Todd Phillips,Homem,EUA,2014,"2,5"
2006,Todas contra John,John tucker must die,Betty Thomas,Mulher,EUA,2014,"1,5"
2011,Gatos de botas,Puss in boots,Chris Miller,Homem,EUA,2014,3
2009,"PAgando bem, que mal tem?",Zack and Miri make a porno,Kevin Smith,Homem,EUA,2014,2
2011,Shame,Shame ,Steve McQueen,Homem,EUA,2014,3
2012,Esquentando a relação,My awkward sexual adventure,Sean Garrity,Homem,EUA,2014,"2,5"
2011,10 anos de pura amizade,10 years,Jamie Linden,Homem,EUA,2014,"2,5"
2010,Confiar,Trust,David Schiwimmer,Homem,EUA,2014,3
2013,A fuga do planta terra,escape from planet earth,Callan Brunker,Homem,EUA,2014,3
2009,Uma viagem ao mundo das fábulas,The secret of kells,Nora Twomey; Tomm Moore,Ambos,Bélgica,2014,4
1985,A primeira transa de Jonathan,Mischief,Mel Damiski,Homem,EUA,2014,3
1989,O serviço de entregas da kiki,魔女の宅急便,Hayao Miyazaki,Homem,Japão,2014,"3,5"
2010,A guerra que você não vê,The war you don't see,John Pilger,Homem,EUA,2014,"3,5"
2006,Morrendo por não saber,Dying to have known,Steve Kroschel,Homem,EUA,2014,"3,5"
2011,A descoberta do LSD,the substance: Albert Hofman's LSD,Martin Witz,Homem,EUA,2014,"2,5"
2006,Iraque à venda: os lucros da guerra,Iraq for sale: the war profiteers,Robert Greenwald,Homem,EUA,2014,3
2013,Blackfish - Fúria Animal,Blackfish,Gabriela Cowperthwaite,Mulher,EUA,2014,5
2005,O homem-urso,Grizzily Man,Werner Herzog,Homem,EUA,2014,5
2013,Invasão à casa branca,Olympus has fallen,Antonie Fuqua,Homem,EUA,2014,3
2007,Sicko - SOS saúde,Sicko,Michael Moore,Homem,EUA,2014,5
2011,Para a floresta da luz dos vagalumes,蛍火の杜へ,Takahiro Omori,Homem,Japão,2014,5
2007,5cm/s,秒速５センチメートル,Makoto Shinkai,Homem,Japão,2014,5
2013,O jardim das palavras,言の葉の庭,Makoto Shinkai,Homem,Japão,2014,5
2011,A arte da consquista,The art of getting by,Gavin Wiesen,Homem,EUA,2014,5
2006,Jogos Mortais 3,Saw 3,Darren Lynn Bousman,Homem,EUA,2014,2.5
2008,Madrugada muito louca 2,Harold & Kumar escape from Guantanama Bay,Hayden Schlossberg; John Hurwitz,Homem,EUA,2014,2.5
2010,A última música,The Last Song,Julie Anne Robinson,Mulher,EUA,2014,2.5
2010,O jeito google de trabalhar,Inside google,Ted Remerowisk,Homem,EUA,2014,"2,5"
2007,A história da pixar,The pixar story,Leslie Iwerks,Mulher,EUA,2014,5
2011,Cortina de Fumaça,Cortina de Fumaça,Rodrigo Mac Niven,Homem,Brasil,2014,5
2012,Projeto X - Uma festa fora de controle ,Preject X,Nima Nourizadeh,Homem,EUA,2014,3
2001,A viagem de Chihiro,千と千尋の神隠し,Hayao Miyazaki,Homem,Japão,2014,5
2008,Ponyo - Uma amizade que veio do mar,崖の上のポニョ,Hayao Miyazaki,Homem,Japão,2014,5
2013,O verão da minha vida,"The way, way back",Jim Rash; Nat Faxon,Homem,EUA,2014,3
2013,A vida secreta de Walter Mitty,The secret life of Walter Mitty,Ben Stiller,Homem,EUA,2014,"2,5"
2004,A agenta secreta do meu namorado,Little black book,Nick Hurran,Homem,EUA,2014,"2,5"
2011,Missão madrinha de casamento,Bridemaids,Paul Feig,Homem,EUA,2014,2
2013,Thor - O mundo sombrio,Thor- The dark world,Alan Taylor,Homem,EUA,2014,3
2014,Inatividade Paranormal 2 ,A haunted House 2,Michael Tiddes,Homem,EUA,2014,"0,5"
2011,Meia noite em Paris,Midnight in Paris,Woody Allen,Homem,EUA,2014,5
2011,A invensção de Hugo Cabret,Hugo,Martin Scorsese,Homem,EUA,2014,"3,5"
2014,Namoro ou Liberdade,The awkward moment,Tom Gormican,Homem,EUA,2014,"2,5"
2013,À procura do amor,Enough said,Nicole Holofcener,Mulher,EUA,2014,3
2013,Her,Her,Spike Jonze,Homem,EUA,2014,5
2010,Doce vingança,I slpit on your grave,Steven R. Monroe,Homem,EUA,2014,"2,5"
2007,Antes de partir,The bucket list,Rob Reiner,Homem,EUA,2014,5
2014,Capitão América 2: O soldado invernal,Captain America: The winter soldier,Anthony Russo; Joe Russo,Homem,EUA,2014,"2,5"
2009,A decepção Obama,The Obama Deception,Alex Jones,Homem,EUA,2014,5
2014,Noé,Noah,Darren Aronofsky,Homem,EUA,2014,"0,5"
2011,Hiroshima: O dia seguinte,Hiroshima: the next day,Pamela Caragol Wells,Mulher,EUA,2014,5
2004,A carne é fraca,A carne é fraca,Denise Gonçalves,Mulher,Brasil,2014,3
2004,Fahrenheit 11 de setembro,Fahrenheit 9/11,Michael Moore,Homem,EUA,2014,"3,5"
2013,A menina que roubava livros,The book thief,Brian Percival,Homem,EUA,2014,"2,5"
2013,O diário de uma virgem,The to do list,Maggie Carey,Mulher,EUA,2014,"2,5"
2005,"Os seus, os meus e os nossos","Yours, Mine and ours",Raja Gosnell,Homem,EUA,2014,"3,5"
1928,O circo,The circus,Charles Chaplin,Homem,EUA,2014,4
2009,Dias dos namorados macabro 3D,My bloddy valentine,Patrick Lussier,Homem,EUA,2014,3
2004,Super size me - a diata do palhaço,Super size me,Morgan Spurlock,Homem,EUA,2014,3
2003,A corporação,The corporation,Jennifer Abbott; Mark Achbar,Ambos,EUA,2014,3
2012,A mulher de preto,The woman in black,James Watkins,Homem,EUA,2014,"2,5"
2008,Ironias do amor,My sassy girl,Yann Samuel,Homem,EUA,2014,3
2009,A mulher invisivel,A mulher invisivel,Cláudio Torres,Homem,Brasil,2014,3
2007,P.S  Eu te amo,P.S I love You,Richard LaGravenese,Homem,EUA,2014,"1,5"
2014,Annabelle,Annabelle,John R. Leonetti,Homem,EUA,2014,"2,5"
2008,A onda ,Die Welle,Dennis Gansel,Homem,Alemanha,2014,4
2012,As aventuras de Pi,Life of Pi,Ang Lee,Homem,EUA,2014,2.5
2013,Os estagiários,The internship,Shawn Levy,Homem,EUA,2014,3.5
2011,Cilada.com,Cilada.com,José Alvarenga Jr. ,Homem,Brasil,2014,0.5
2010,Lembranças,Remember Me,Allen Coulter,Homem,EUA,2014,3.5
2012,"Espelho, espelho meu","Mirror, Mirror",Tarsem Singh,Homem,EUA,2014,3
2010,Casa comigo?,Leap Year,Anand Tucker,Homem,EUA,2014,2.5
2012,A pequena loja de suicídios ,Le Magasin des suicides,Patrice Leconte,Homem,França,2014,4.5
2007,Across the universe,Across the universe,Julie Taymor,Mulher,EUA,2014,3.5
2009,Segurança de shopping ,Paul Blart: Mall Cop,Steve Carr,Homem,EUA,2014,3
2012,A saga molusco - Anoitecer,Breaking Wind,Craig Moss,Homem,EUA,2014,0.5
2013,Cofissões de Adolescente,Cofissões de Adolescente,Cris D'amato; Daniel Filho,Ambos,Brasil,2014,2.5
2013,Frozen: Uma aventura congelante,Frozen,Chris Buck; Jennifer Lee,Ambos,EUA,2014,3
2013,Questão de tempo,About time,Richard Curtis,Homem,EUA,2014,5
2012,O segredo da cabana,The cabin in the woods,Drew Goddard,Homem,EUA,2014,2
2009,Cadê minha entrega?,Next day air,Benny Boom,Homem,EUA,2014,"0,5"
2011,Amizade colorida,Friends with benefits,Will Gluck,Homem,EUA,2014,3
2011,Os contos da noite,Les contes de la nuit,Michel Ocelot,Homem,França,2014,"2,5"
2011,Amor a toda prova,"Crazy, stupid, love",Glenn Ficarra; John Requa,Homem,EUA,2014,3
2001,Vanilla Sky,Vanilla Sky,Cameron Crowe,Homem,EUA,2014,"2,5"
2013,Reino Escondido,Epic,Chris Wedge,Homem,EUA,2014,3
2014,No olho do tornado,Into the storm,Steven Quale,Homem,EUA,2014,"2,5"
2014,Hércules ,Hercules,Brett Ratner,Homem,EUA,2014,"2,5"
2014,Lucy,Lucy,Luc Beson,Homem,EUA,2014,2
2014,Guardiões da Galáxia,Guardians of the Galaxy,James Gunn,Homem,EUA,2014,3
2013,O grande Gatsby,The great Gatsby,Baz Luhrman,Homem,EUA,2014,4
2010,Um parto de viagem,Dua date,Todd Phillips,Homem,EUA,2014,205
1998,O show de Truman,The Truman show,Peter Weir,Homem,EUA,2014,"4,5"
1985,De volta pada o futuro,Back to the future,Robert Zimeckis,Homem,EUA,2014,"3,5"
2013,"Sem dor, sem ganho","No pain, no gain",Michel Bay,Homem,EUA,2014,"2,5"
2013,O lobo de Wall Street,The wolf of Wall Street,Martin Scorsese,Homem,EUA,2014,"3,5"
2014,Vizinhos,Neighbors,Nicholas Stoller,Homem,EUA,2014,"2,5"
2013,Mama,Mama,Andy Muschiett,Homem,EUA,2014,3
2012,O impossível,The impossible,J. A. Bayone,Homem,EUA,2014,4
2014,Juntos e misturados,Blended,Frank Coraci,Homem,EUA,2014,"2,5"
2010,O primeiro mentiroso,The invention of lying,Matthew Robison; Ricky Gervais,Homem,EUA,2014,"3,5"
2014,Saindo do armário,Date and switch,Chris Nelson,Homem,EUA,2014,3
2013,Invocação do Mal,The conjuring,James Wan,Homem,EUA,2014,3
2014,Malévola,Maleficent,Robert Stromberg,Homem,EUA,2014,3
2013,Amor e Turbulência,Amour & Turbulences,Alexandre Castagnetti,Homem,França,2014,"2,5"
2012,Ligados pelo amor,Stuck in love,Josh Broone,Homem,EUA,2014,5
2003,O gato,Dr. Seuss' the cat in the hat,Bo Welch,Homem,EUA,2014,"2,5"
2009,"Eu te amo, Beth Cooper","I love you, Beth Cooper",Chris Columbus,Homem,EUA,2014,"2,5"
2012,E aí... Comeu?,E aí... Comeu?,Felipe Joffily,Homem,Brasil,2014,"0,5"
1973,Planeta Fantástico,La Planète Sauvage,René Laloux,Homem,França,2014,"1,5"
2012,Hannah Arendt - Ideias que chocaram o mundo,Hannah Arendt,Margarethe von Trotta,Mulher,Alemanha,2014,5
2013,É o fim,This is the end,Evan Goldberg; Seth Rogen,Homem,EUA,2014,"2,5"
2006,"Wood & Stock - Sexo, Orégano e Rock'n'roll","Wood & Stock - Sexo, Orégano e Rock'n'roll",Otto Guerra,Mulher,Brasil,2014,"2,5"
2013,Tá chovendo hambúrguer 2,Cloudy with a chance of meatballs 2,Cody Cameron; Kris Pearn,Homem,EUA,2014,"2,5"
2011,Amizade Colorida,Friends with benefits,Will Gluck,Homem,EUA,2014,3
1982,Mafalda,Mafalda,Carlos D. Marquez,Homem,Argentina,2014,"3,5"
2014,O que será de nozes?,The nut job,Peter Lepeniotis,Homem,EUA,2015,3
2014,Marcados pela Guerra,Camp X-Ray,Peter Sattler,Homem,EUA,2015,"3,5"
2013,Walt nos bastidores de Mary Poppins,Saving Mr. Banks,John Lee Hancock,Homem,EUA,2015,3
2014,Festa no céu,The book of life,Jorge R. Gutierrez,Homem,EUA,2015,"3,5"
2012,Ruby Sparks - A namorada perfeita,Ruby Sparks,Johnathan Dayton; Valerie Faris,Ambos,EUA,2015,"2,5"
2005,Mão aos dezesseis,Mom at sixteen,Peter Werner,Homem,EUA,2015,"3,5"
2014,O abutre,Nightcrawler,Dan Gilroy,Homem,EUA,2015,3
2014,A teoria de tudo,The theory of everything,James Marsh,Homem,Inglaterra,2015,5
1988,O Túmulo dos Vagalumes,火垂るの墓,Isao Takahata,Homem,Japão,2015,4
2014,Sex Tape - Perdido na nuvem,Sex Tape,Jake Kasdan,Homem,EUA,2015,2
2012,Um divã para dois,Hope Springs,David Frankel,Homem,EUA,2015,"3,5"
2011,A delicadeza do amor,La Délicatesse,David Foekinos; Stéphane Foekinos,Ambos,França,2015,5
2002,O Reino dos gatos,猫の恩返し,Hiroyuki Morita,Homem,Japão,2015,3
2005,Elsa &  Fred - Um amor de paixão,Elsa y Fred,Marcos Carnevale,Homem,Argentina,2015,"3,5"
2009,Preciosa: Uma história de esperança,Precious: Based on the novel push by shapire,Lee Daniels,Homem,EUA,2015,"4,5"
2015,Beats of no nation,Beats of no nation,Cary Fukunaga,Homem,EUA,2015,5
2010,Minhas tardes com Margueritte,La Tête en friche,Jean Becker,Homem,França,2015,5
2001,O fabuloso destino de Amélie Poulain,Le Fabuleux destin D'Amélie Poulain,Jean-Pierre Jeunet ,Homem,França,2015,"3,5"
2013,Azul é a cor mais quente,La vie D'Adèle,Abdellatif Kechiche,Homem,França,2015,2
2004,Quem somos nós? ,What the bleep do we know?,Betsy Chasse; Mark Vicente; Willian Arntz,Homem,EUA,2015,"2,5"
2011,Tomboy,Tomboy,Céline Sciamma,Mulher,França,2015,4
2010,A origem,Inception,Christopher Nolan,Homem,EUA,2015,3
2006,O labirinto do fauno,El laberinto del fauno,Guilhermo del Toro,Homem,Espanha,2015,4
1989,Sociedade dos poetas mortos,Dead poets society,Peter Weir,Homem,EUA,2015,4
-,A vida secreta do caos,The secret life of chaos,Nic Stacey,Homem,EUA,2015,4
2004,Brilho Eterno de uma mente sem lembranças,Eternal sunshine of the spotless mind,Michel Gondry,Homem,EUA,2015,5
2015,Perdidos em marte,The martian,Ridley Scott,Homem,EUA,2015,"3,5"
2014,O jogo da imitação,The imitation game,Morten Tyldun,Homem,EUA,2015,"4,5"
2011,Entre o amor e a paixão,Take this waltz,Sarah Polley,Mulher,EUA,2015,3
2014,Anjos da Lei 2,22 jump street,Christopher Miller; Phil Lord,Homem,EUA,2015,"2,5"
2010,Colorful,カラフル,Keiichi Hara,Homem,Japão,2015,5
2014,Whiplash: Em busca da perfeição,Whiplash,Damien Chazalle,Homem,EUA,2015,5
2010,Cópia Fiel,Copie Conforme,Abbas Kiarostami,Homem,França,2015,"3,5"
2008,Quebrando a banca,21,Robert Luketic,Homem,EUA,2015,3
2009,Mãos talentosas: A história de Ben Carson,Gifted Hands: The Ben Carson History,Thomas Carter,Homem,EUA,2015,5
1961,Bonequinha de luxo,Breakfast at Tiffany's,Blake Edwards,Homem,EUA,2015,5
2008,Apenas Sexo,Strictly sexual,Joe Viertel,Homem,EUA,2015,"3,5"
2015,Hot girls wanted,Hot girls wanted,Jill Bauer; Ronna Gradus,Ambos,EUA,2015,"2,5"
2015,Victor Frankenstein,Victor Frankenstein,Paul McGuigan,Homem,EUA,2015,1
1999,Beleza Americana,American Beauty,Sam Mendes,Homem,EUA,2015,4
2012,Jovem Aloucada,Joven y Alocada,Marialy Rivas,Mulher,Chile,2015,"2,5"
2014,In your eyes,In your eyes,Brin Hill,Homem,EUA,2015,3
2003,Peixe grande e suas histórias maravilhosas,Big Fish,Tim Burton,Homem,EUA,2015,3
2010,A Origem,Inception,Christopher Nolan,Homem,EUA,2015,3
2010,Os outro caras,The other guys,Adam McKay,Homem,EUA,2016,"3,5"
2014,Como treinar seu dragão 2,How to train your dragon,Dean DeBlois,Homem,EUA,2016,5
2004,Ray,Ray,Taylor Hackford,Homem,EUA,2016,5
2016,Deadpool,Deadpool,Tim Miller,Homem,EUA,2016,4
2007,Escritores da liberdade,Freedom Writers,Richard LaGravanese,Homem,EUA,2016,5
2015,Os oito odiados,The hateful eight,Quentin Tarantino,Homem,EUA,2016,"3,5"
2015,O quarto de Jack,Room,Lenny Abrahamson,Homem,EUA,2016,5
1988,Meu amigo totoro,となりのトトロ,Hayao Miyazaki,Homem,Japão,2016,4
2015,Anomalisa,Anomalisa,Charlie Kaufuman; Duke Johnson,Homem,EUA,2016,4
2010,O livro de Eli,The book of Eli,Albert Hughes; Allen Hughes,Homem,EUA,2016,3
2011,Os intocáveis,Intouchables,Eric Toledano; Olivier Nakache,Homem,França,2016,4
2011,Assalto em dose dupla,Flypaper,Rob Minkoff,Homem,EUA,2016,3
2005,Quatro irmãos,Four brothers,John Singleton,Homem,EUA,2016,3
1989,De volta para o futuro II ,Back to the future II,Robert Zemericks,Homem,EUA,2016,"3,5"
1990,De volta para o futuro III,Back to the future III,Robert Zemericks,Homem,EUA,2016,"3,5"
2011,A professora de Piano,La Pianiste,Michael Hanake,Homem,França,2016,"2,5"
2015,Cinquenta tons de cinza,fifty shades of gray,Sam Taylor-Johnson,Mulher,EUA,2016,"1,5"
2001,E sua mãe tembém,Y tu mamá tanbién,Affonso Cuarón,Homem,México,2016,4
2015,Love,Love,Gaspar Noé,Homem,França,2016,5
2011,Passe livre,Hall Pass,Bobby Farrelly; Peter Farrelly,Homem,EUA,2016,"2,5"
2013,Ninfomaníaca: Volume I,Nymphomaniac: Volume I,Las Von Trier,Homem,Dinamarca,2016,3
2010,Pronto para recomeçar,Everything must go,Dan Rush,Homem,EUA,2016,"3,5"
2005,As loucuras de Dick & Jane,Fun with Dick & Jane,Dean Parisot,Homem,EUA,2016,3
2013,Mesmo se nada der certo,Begin again,John Carney,Homem,EUA,2016,5
2011,Os Finkels em ação,Swingning with the Finkels,Johnathan Newman,Homem,EUA,2016,3
1988,Quero ser grande,Big ,Penny Marshall,Mulher,EUA,2016,"3,5"
2009,Cartas para o Padre Jacob,Postia Pappa Jaakobille,Klaus  Härö,Homem,Filândia,2016,5
2005,V de vingança,V for vendetta,James McTeigue,Homem,Inglaterra,2016,5
1994,Pulp Fiction: Tempo de violência,Pulp Fiction,Quentin Tarantino,Homem,EUA,2016,5
2013,Trem noturno para Lisboa,Night train to Lisbon,Bille August,Homem,Suíça,2016,5
2004,O lugar prometido em nossa Juventude,雲のむこう、約束の場所,Makoto Shinkai,Homem,Japão,2016,4
