Ano,Título ,Título original,Diretor(a),Gênero,País,Visto em,Nota
2010,Meu malvado favorito,Dispicable Me,Chris Renaud; Pierre Coffin,Homem,EUA,-,4
2013,Meu malvado favorito 2,Dispicable Me 2,Chris Renaud; Pierre Coffin,Homem,EUA,-,1.5
2009,Up - Altas Aventuras,Up,Pete Docker,Homem,EUA,-,4.5
2001,Shrek,Shrek,Andrew Adamson; Vicky Jenson,Ambos,EUA,-,5
2004,Shrek 2,Shrek 2,Andrew Adamson; Conrad Vemon; Kelly Asbury,Homem,EUA,-,3
2007,Shrek Terceiro,Shrek the third,Chris Miller,Homem,EUA,-,2.5
2010,Shrek Para sempre,Shrek forever after,Mike Michell,Homem,EUA,-,3
2006,Sorte no amor,Just my luck,Donald Petrie,Homem,EUA,-,3
2009,OS delírios de consumo de Becky Bloom,Cofessions of a shopaholic,P.J. Hogan,Homem,EUA,-,3
2009,Noivas em guerra,Bride Wars,Gary Winick,Homem,EUA,-,2.5
2008,Sim senhor!,Yes man,Peyton Reed,Homem,EUA,-,4
2009,Os fantasmas de Scrooge,A christmas carol,Robert Zemeckis,Homem,EUA,-,5
2000,Entrando numa fria,Meet the parents,Jay Roach,Homem,EUA,-,3
2004,Entrando numa fria maior ainda,Meet the fockers,Jay Roach,Homem,EUA,-,3
2010,Entrando numa fria maior ainda com a família,Little fockers,Paul Weitz,Homem,EUA,-,2
2002,Homem-Aranha,Spider-Man,Sam Raimi,Homem,EUA,-,3
2004,Homem-Aranha 2,Spider-Man 2,Sam Raimi,Homem,EUA,-,3
2006,Homem-Aranha 3,Spider-Man 3,Sam Raimi,Homem,EUA,-,3
2005,A família da noiva,Guess Who,Kevin Rodney Sullivan,Homem,EUA,-,3.5
2010,Querido John,Dear John,Lasse Hallström,Homem,EUA,-,1.5
2010,Como treinar seu dragão,How to train your dragon,Chris Sanders; Dean DeBlois,Homem,EUA,-,5
2008,Marley e Eu,Marley & Me,David  Frankel,Homem,EUA,-,4
2011,Rio,Rio,Carlos Saldanha,Homem,EUA,-,3
2000,Do que as mulheres gostam,What women want,Nancy Meyers,Mulher,EUA,-,5
1998,Operação Cupido,The parent trap,Nancy Meyers,Mulher,EUA,-,2.5
2001,O amor é cego,Shallow Hal,Bobby Farrally; Peter Farrally,Homem,EUA,-,0.5
2008,Kong Fu Panda,Kong Fu Panda,John Stevenson; Mark Orsborne,Homem,EUA,-,5
2011,Kong Fu Panda 2,Kong Fu Panda 2,Jennifer Yuh Nelson,Mulher,EUA,-,2.5
2010,As viagens de Gulliver,Gulliver's travel,Rob Letterman,Homem,EUA,-,2
2005,King Kong,King Kong,Peter Jackson,Homem,EUA,-,2
2003,Escola do Rock,The school of rock,Richard Linklater,Homem,EUA,-,2.5
2002,A Era do Gelo,Ice Age,Carlos Saldanha;Chris Wedge,Homem,EUA,-,5
2006,A Era do Gelo 2,Ice Age: The Meltdown,Carlos Saldanha,Homem,EUA,-,2
2009,A Era do Gelo 3,Ice Age: Dawn of the dinossaurs,Carolos Saldanha,Homem,EUA,-,1.5
2012,A Era do Gelo 4,Ice Age: Continent Drift,Mike Thurmeier; Steve Martinho ,Homem,EUA,-,1
2001,Mulher Infernal,Saving Silverman,Dennis Dugan,Homem,EUA,-,2
2003,Recém-Casados,Just Married,Shawn Levy,Homem,EUA,-,2.5
1999,American Pie: A primeira vez é inesquecível,American Pie,Chris Weitz; Paul Weitz,Homem,EUA,-,2.5
2001,American Pie: A segunda vez é ainda melhor,American Pie 2,J. B. Jorges,Homem,EUA,-,3
2003,American Pie: O casamento,American Wedding,Jesse Dylan,Homem,EUA,-,3
2005,American Pie: A maior zona,American Pie presents band camp,Steve Rash,Homem,EUA,-,2.5
2006,American Pie: O último Stifler virgem,American Pie presents the naked mile,Joe Nussbaum,Homem,EUA,-,3
2007,American Pie: caindo em tentação,American Pie presents beta house,Andrew Waller,Homem,EUA,-,2.5
2009,American Pie: O livro do amor,America Pie presents: The book of love,John Putch,Homem,EUA,-,2
2012,American Pie: O reencontro,American Reunion,Hayden Scholossberg; Jon Hurwitz,Homem,EUA,-,1.5
2006,O bicho vai pegar,Open season,Jil Culton; Rogers Allen,Homem,EUA,-,2.5
2008,O bicho vai pegar 2,Open season 2,Matthew O'Callaghan; Todd Wilderman,Homem,EUA,-,2.5
2010,O bicho vai pegar 3,Open season 3,Cody Cameron,Homem,EUA,-,3
2006,Arthur e os mininoys,Arthur et les minimoys,Luc Besson,Homem,França,-,1.5
2009,Athur e a vigança de Malthazard,Arthur et la vengeance de Malthazard,Luc Besson,Homem,França,-,2.5
2002,Scooby-Doo,Scooby-Doo,Raja Gosnell,Homem,França,-,2.5
2004,Garfield: O filme,Garfield,Peter Hewit,Homem,EUA,-,2
2000,Vovó...Zona,Big Momma's house,Raja Gosnell,Homem,EUA,-,5
2006,Vovó...Zona 2,Big Momma's house 2,John Whitesell,Homem,EUA,-,3
2011,Vovó...Zona Tal Pai Tal Filho,"Big Mommas: Like father, like son",John Whitesell,Homem,EUA,-,1
2008,O bom filho à casa torna,"Welcome home, Roscoe Jenkins",Malcolm D. Lee,Homem,EUA,-,2
2005,A hora da Virada,Rebound,Steve Carr,Homem,EUA,-,2.5
2005,Golpe Baixo,The longest yard ,Peter Segal,Homem,EUA,-,2.5
1997,Um pequeno encrenqueiro,Mousehunt,Gore Verbinski,Homem,EUA,-,2
2003,Canguru Jack,Kanguroo Jack,David MacNally,Homem,EUA,-,1.5
2013,Para maiores,Movie 43,Brett Ratner; Elizabeth Banks; Griffin Dunne; James Duffy; James Gunn; Jonathan van Tulleken; Patrik Forsberg; Peter Farrely; Rusty Cundieff; Steve Carr; Steven Brill; Will Graham,Ambos,EUA,-,2
2010,Diário de um banana,Diary of a Wmpy Kid,Thor Freudenthal,Homem,EUA,-,2
2001,Loucuras da Idade Média,Black Knight,Gil Junger,Homem,EUA,-,2.5
2012,Hotel Transilvânia,Hotel Transylvania,Genndy Tartakovsky,Homem,EUA,-,3
2007,Eu os declaro marido e... Larry,I now pronounce you Chuck & Larry,Dennis Dugan,Homem,EUA,-,3.5
2004,Como se fosse a primeira vez,50 first dates,Peter Segal,Homem,EUA,-,3
2006,Click,Click,Frank Coraci,Homem,EUA,-,2.5
2002,Garota Veneno,The hot chick,Tom Brady,Homem,EUA,-,3.5
2000,Little Nicky - Um diabo diferente,Little Nicky,Steven Brill,Homem,EUA,-,3.5
2008,A casa das coelhinhas,The house bunny,Fred Wolf,Homem,EUA,-,3.5
2006,Os Esquenta banco,The benchwarmers,Dennis Dugan,Homem,EUA,-,2.5
2011,Corajosos,Courageous,Alex Kendrick,Homem,EUA,-,3.5
2009,Anjos e Demônios,Angels & Demons,Ron Howard ,Homem,EUA,-,1.5
2000,As aventuras de Alceu e Dentinho,The adventures of Rocky and Bullwinke,Des McAuff,Homem,EUA,-,2.5
2013,Família do bagulho,We're the Millers,Rawson Marshall Thurber,Homem,EUA,-,5
2010,Se enlouquecer não apaixone,It's kind of a funny story,Anna Boden; Ryan Fleck,Ambos,EUA,-,3.5
2011,Quero matar meu chefe,Horrible bosses,Seth Gordon,Homem,EUA,-,2.5
2010,Coincidências do Amor,The Switch,Josh Gordon; Will Speck,Homem,EUA,-,3.5
2009,Ele não está tão afim de você,He's just not that into you,Ken Kwapis,Homem,EUA,-,3.5
2006,Separados pelo casamento,The break-up,Peyton Reed,Homem,EUA,-,3.5
2005,Dizem por aí...,Rumor has it,Rob Reiner,Homem,EUA,-,5
1999,O Gigante de ferro,The Iron Giant,Brad Bird ,Homem,EUA,-,5
2007,A Volta do Todo poderoso,Evan Almighty,Tom Shadyac,Homem,EUA,-,2.5
2005,A marcha dos pinguins,Le marche de l'empereur,Luc Jacquet,Homem,França,-,3.5
2008,Homem de Ferro,Iron Man,Jon Favreanu,Homem,EUA,-,2.5
2009,Um sonho possível,The blind side,John Lee Hancock,Homem,EUA,-,5
2009,Maluca Paixão,All about Steve,Phil Trail,Homem,EUA,-,2.5
2000,Miss Simpatia,Miss Congeniality,Donald Petrie,Homem,EUA,-,2.5
1998,O Príncipe do Egito,The Prince of Egypt,Branda Chapman; Simon Wells; Steve Hickner,Ambos,EUA,-,2.5
2007,Os Simpsos: O Filme,The Simpsons movie,David Silverman,Homem,EUA,-,2
2004,O Expresso Polar,The Polar Express,Robert Zemeckis,Homem,EUA,-,5
2006,Carros ,Cars,John Lasseter,Homem,EUA,-,5
2011,Carros 2,Cars 2 ,John Lasseter,Homem,EUA,-,1.5
2000,Náufrago,Cast Away,Robert Zemeckis,Homem,EUA,-,3
1999,À espera de um milagre,The green mile,Frank Darabont,Homem,EUA,-,3.5
2006,Lucas: Um intruso no formigueiro,The Ant Bully,John A. Davis,Homem,EUA,-,2
2007,Stardust - O mistério estelar,Stardust,Matthew Vaughn,Homem,EUA,-,2
2011,Professora sem classe,Bad teacher,Jake Kasdan,Homem,EUA,-,2
2012,O que esperar quando voê está esperando,What to expect when you're expecting,Kirk Jones,Homem,EUA,-,2
2000,As panteras,Charlie's Angels,McG,Homem,EUA,-,2
1994,O máscara,The mask,Chuck Russell,Homem,EUA,-,3
2012,A origem dos guardiões,Rise of the guardians,Peter Ramsey,Homem,EUA,-,4
2001,A.I Inteligência Artificial,Artificial Intelligence: AI,Steven Spielberg,Homem,EUA,-,2
1997,"Gattaca, uma Experiência Genética",Gattaca,Andrew Niccol,Homem,EUA,-,5
2005,Herbie: Meu fusca turbinado,Herbie Fully Loaded,Angela Robinson,Mulher,EUA,-,1.5
2004,Meninas Malvadas,Mean Girls,Mark Waters,Homem,EUA,-,2
2007,Ponte para terabítia,Brigde to Terabithia,Gabor Csupo,Homem,EUA,-,4
2011,Soul Sufer - Coragem de viver,Soul Sufer,Sean McNamara,Homem,EUA,-,5
2009,Simplesmente complicado,It's complicated,Nancy Meyers,Mulher,EUA,-,3
2006,O amor não tira férias,The holiday,Nancy Meyers,Mulher,EUA,-,3.5
2003,Alguém tem que ceder,Something gotta give,Nancy Meyers,Mulher,EUA,-,3
2012,Procura-se um amigo para o fim do mundo,Seeking a friend for the end of the world,Lorene Scafaria,Mulher,EUA,-,5
2010,Uma noite fora de série,Date Night,Shawn Levy,Homem,EUA,-,3
2006,Pequena Miss Sunshine,Little Miss Sunshine,Johnathan Dayton; Valerie Faris,Ambos,EUA,-,2
2006,Os Sem Floresta,Over the Hegde,Karey Kirkpatrick; Tim Jonhson,Homem,EUA,-,2.5
2013,Wolverine: Imortal,The Wolverine,James Mangold,Homem,EUA,-,3.5
2003,X-Men: Wolverine,X-Men Origins: Wolverine,Gavin Hood,Homem,EUA,-,3.5
2012,Paris-Manhattan,Paris-Manhattan,Sophie Lellouche,Mulher,França,-,3
2011,Bruna Surfistinha,Bruna Surfistinha,Marcus Baldini,Homem,Brasil,-,2.5
2000,Todo mundo em pânico,Scary Movie,Keenen Ivory Wayns,Homem,EUA,-,2.5
2001,Todo mundo em pânico 2,Scary Movie 2,Keenen Ivory Wayns,Homem,EUA,-,3
2006,Todo mundo em pânico 4,Scary Movie 4,David Zucker,Homem,EUA,-,3
2013,Todo mundo em pânico 5,Scary Movie 5,David Zucker; Malcolm D. Lee,Homem,EUA,-,2.5
2011,Agentes do destino,The adjustment bureau,Geoge Noli,Homem,EUA,-,3
2006,O pequenino,Littleman,Keenen Ivory Wayns,Homem,EUA,-,2
2008,Espartalhões,Meet the Sparta,Aaron Seltzer; Jaso Friedberg,Homem,EUA,-,3.5
2007,Deu a louca em Hollywood,Epic Movie,Aaron Seltzer; Jaso Friedberg,Homem,EUA,-,1
2006,Um comédia nada romântica,Date movie,Aaron Seltzer,Homem,EUA,-,2.5
1996,Curtindo a vida adoidado,Ferris Buellr's Day Off,John Hughes,Homem,EUA,-,1.5
2001,Monstos S.A,Monsters Inc,Pete Docter,Homem,EUA,-,5
2013,Universidade de Monstros,Monsters University,Dan Scanlon,Homem,EUA,-,2
2000,O Auto da Compadecida,O Auto da Compadecida,Guel Arraes,Homem,Brasil,-,3.5
2012,Detona Ralph,Wreck-it Ralph,Rich Moore,Homem,EUA,-,2
2007,Juno,Juno,Jason Reitman,Homem,EUA,-,2
2013,Oz: Mágico e Poderoso,Oz: The great and powerful,Sam Raimi,Homem,EUA,-,1.5
2007,Ratatoulle,Ratatoulle,Brad Bird ,Homem,EUA,-,2.5
1996,Matilda,Matilda,Danny DeVito,Homem,EUA,-,2.5
1936,Tempos Modernos,Modern Times,Charles Chaplin ,Homem,EUA,-,4
2011,Clube das Mulheres,Balls to the ball,Penelope Sheeris,Mulher,EUA,-,3
2005,E se fosse verdade...,Just like heaven,Mark Waters,Homem,EUA,-,2.5
2003,Lisbela e o prisoneiro,Lisbela e o prisoneiro,Guel Arraes,Homem,Brasil,-,2.5
2010,Megamente ,Miegamind,Tom McGrath,Homem,EUA,-,2.5
1994,Os batutinhas,The little Rascals,Penelope Sheeris,Mulher,EUA,-,2.5
2003,"Adeus, Lenin!","Good Bye, Lenin!",Wolfgang Becker,Homem,Alemanha,-,4
2006,Se eu fosse você,Se eu fosse você,Daniel Filho,Homem,Brasil,-,2.5
2009,Se eu fosse você 2,Se eu fosse você 2,Daniel Filho,Homem,Brasil,-,2.5
1998,Dr. Dolittle,Dr. Dolittle,Betty Thomas,Mulher,EUA,-,2.5
2001,Dr. Dolittle 2,Dr. Dolittle 2,Steve Carr,Homem,EUA,-,2
2006,Dr. Dolittle 3,Dr. Dolittle 3,Richard Thomas,Homem,EUA,-,2.5
2008,Dr. Dolittle 4,Dr. Dolittle: Tail to the Chief,Graig Shapiro,Homem,EUA,-,2
2011,Rango,Rango,Gore Verbinski,Homem,EUA,-,2
2003,Sexta-Feira muito louca,Freaky Friday,Mark Waters,Homem,EUA,-,2
1999,O pequeno Stuart Little,Stuart Little,Rob Minkoff,Homem,EUA,-,2.5
