TÍTULO,TÍTULO ORIGINAL,AUTOR,TRADUTOR(A),GÊNERO,PAÍS,LIDO EM,NOTA,FORMATO,PÁGINAS,EDITORA,TAG
A cor que caiu do céu,The color out of space,H. P. Lovecraft,,Homem,EUA,2017,4,Livro,220,Iluminuras,físico
Lucille,Lucille,Ludovic Debeurme,,Homem,França,2017,4,HQ,544,Barba Negra,físico
Fico à espera,"Moi, j'attends",Davide Calì; Serge Bloch,,Homem,Suíça,2017,4,HQ,56,Cosac Naify,físico
Assassination Classroom #1,Assassination Classroom #1,Yusei Matsui,,Homem,Japão,2017,5,Mangá,192,Panini,físico
Assassination Classroom #2,Assassination Classroom #2,Yusei Matsui,,Homem,Japão,2017,5,Mangá,202,Panini,físico
Assassination Classroom #3,Assassination Classroom #3,Yusei Matsui,,Homem,Japão,2017,5,Mangá,202,Panini,físico
Assassination Classroom #4,Assassination Classroom #4,Yusei Matsui,,Homem,Japão,2017,5,Mangá,192,Panini,físico
Assassination Classroom #5,Assassination Classroom #5,Yusei Matsui,,Homem,Japão,2017,5,Mangá,192,Panini,físico
O tigre de sharpe,Sharpe's tiger,Bernard Cornwell,,Homem,Inglaterra,2017,4,Livro,406,Record,físico
Demian,Die Geschichte einer Jugend,Hermann Hesse,,Homem,Alemanha,2017,5,Livro,187,Record,físico
O cemitério,Pet Sematary,Stephen King,,Homem,EUA,2017,5,Livro,424,Suma,físico
Bonsai,Bonsái,Alejandro Zambra,,Homem,Chile,2017,3,Livro,96,Cosac Naify,físico
A Grande Rainha,The forest house,Marion Zimmer Bradley,,Mulher,EUA,2017,4,Livro,232,Imago,físico
O nome do vento,The name of the wind,Patrick Rothfuss,,Homem,EUA,2017,4,Livro,656,Arqueiro,físico
Scott Pilgrim contra o mundo vol.01,Scott Pilgrim against the world vol.01,Bryan Lee O'Maley,,Homem,EUA,2017,4,HQ,368,Quadrinhos na cia,físico
O chamado de Cthulhu e outros contos,The call of cthulhu,H. P. Lovecraft,,Homem,EUA,2017,4,Livro,166,Hedra,físico
Sandman: Fim dos mundos,Sandman: World's End #8,Neil Gaiman,,Homem,Inglaterra,2017,5,HQ,176,Conrad,físico
 Hellblazer: Raízes da Coincidência,Hellblazer: Roots of coincidence,Andy Diggle,,Homem,EUA,2017,4,HQ,180,Panini,físico
Black kiss,Black Kiss,Howard Chaykin,,Homem,EUA,2017,4,HQ,152,Devir,online
O fantasma de Anya,Anya's Ghost,Vera Brosgol,,Mulher,Rússia,2017,4,HQ,224,Jangada,físico
Lúcifer,Lucifer vol.01: Devil in the gateway,Mike Carey,,Homem,EUA,2017,3,HQ,164,Panini,físico
Caixa de pássaros,Bird Box,Josh Malerman,,Homem,EUA,2017,3,Livro,272,Intrínseca,físico
Akira #1,Akira #1,Katsuhiro Otomo,,Homem,Japão,2017,5,Mangá,364,JBC,online
Akira #2,Akira #2,Katsuhiro Otomo,,Homem,Japão,2017,5,Mangá,304,JBC,online
Akira #3,Akira #3,Katsuhiro Otomo,,Homem,Japão,2017,5,Mangá,288,JBC,online
Akira #4,Akira #4,Katsuhiro Otomo,,Homem,Japão,2017,5,Mangá,392,JBC,online
Parasita #1,Parasyte #1,Hitoshi Iwaaki,,Homem,Japão,2017,4,Mangá,232,JBC,físico
Parasita #2,Parasyte #2,Hitoshi Iwaaki,,Homem,Japão,2017,4,Mangá,222,JBC,físico
Parasita #3,Parasyte #3,Hitoshi Iwaaki,,Homem,Japão,2017,4,Mangá,224,JBC,físico
Parasita #4,Parasyte #4,Hitoshi Iwaaki,,Homem,Japão,2017,4,Mangá,216,JBC,físico
Parasita #5,Parasyte #5,Hitoshi Iwaaki,,Homem,Japão,2017,4,Mangá,216,JBC,físico
Parasita #6,Parasyte #6,Hitoshi Iwaaki,,Homem,Japão,2017,4,Mangá,222,JBC,físico
Parasita #7,Parasyte #7,Hitoshi Iwaaki,,Homem,Japão,2017,4,Mangá,240,JBC,físico
Elfen Lied #1,Elfen Lied #1,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,220,Panini,online
Elfen Lied #2,Elfen Lied #2,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,234,Panini,online
Elfen Lied #3,Elfen Lied #3,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,226,Panini,online
Elfen Lied #4,Elfen Lied #4,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,226,Panini,online
Elfen Lied #5,Elfen Lied #5,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,234,Panini,online
Elfen Lied #6,Elfen Lied #6,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,234,Panini,online
Elfen Lied #7,Elfen Lied #7,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,200,Panini,online
Elfen Lied #8,Elfen Lied #8,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,200,Panini,online
Elfen Lied #9,Elfen Lied #9,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,200,Panini,online
Elfen Lied #10,Elfen Lied #10,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,200,Panini,online
Elfen Lied #11,Elfen Lied #11,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,200,Panini,online
Elfen Lied #12,Elfen Lied #12,Lynn Okamoto,,Homem,Japão,2018,4,Mangá,200,Panini,online
Uma metamorfose Irariana,Une métamorphose iranienne,Mana Neyestani,,Homem,Irã,2018,3,HQ,208,Nemo,físico
Príncipe dos Espinhos,Prince of Thorns,Mark Lawrence,,Homem,EUA,2018,4,Livro,364,Darkside,físico
Oldboy #1,Oldboy #1,"Garon Tsuchiya, Nobuaki Minegishi",,Homem,Japão,2018,3,Mangá,228,Nova Sampa,online
Oldboy #2,Oldboy #2,"Garon Tsuchiya, Nobuaki Minegishi",,Homem,Japão,2018,3,Mangá,226,Nova Sampa,online
Oldboy #3,Oldboy #3,"Garon Tsuchiya, Nobuaki Minegishi",,Homem,Japão,2018,3,Mangá,226,Nova Sampa,online
Oldboy #4,Oldboy #4,"Garon Tsuchiya, Nobuaki Minegishi",,Homem,Japão,2018,3,Mangá,226,Nova Sampa,online
Oldboy #5,Oldboy #5,"Garon Tsuchiya, Nobuaki Minegishi",,Homem,Japão,2018,3,Mangá,200,Nova Sampa,online
Oldboy #6,Oldboy #6,"Garon Tsuchiya, Nobuaki Minegishi",,Homem,Japão,2018,3,Mangá,200,Nova Sampa,online
Oldboy #7,Oldboy #7,"Garon Tsuchiya, Nobuaki Minegishi",,Homem,Japão,2018,3,Mangá,192,Nova Sampa,online
Oldboy #8,Oldboy #8,"Garon Tsuchiya, Nobuaki Minegishi",,Homem,Japão,2018,3,Mangá,211,Nova Sampa,online
Ninguém vira adulto de verdade,Adulthood is a myth,Sarah Anderssen,,Mulher,EUA,2018,3,HQ,120,Seguinte,físico
Vagabond #9,Vagabond #9,Takehiko Inoue,,Homem,Japão,2018,5,Mangá,208,Panini,físico
Blood+ #1,Blood+ #1,Asuka Katsura,,Mulher,Japão,2018,3,Mangá,207,Panini,online
Abaara #1,Abaara #1,Tsutomu Nihiei,,Homem,Japão,2018,3,Mangá,200,Panini,online
Abaara #2,Abaara #2,Tsutomu Nihiei,,Homem,Japão,2018,2,Mangá,160,Panini,online
Có & Birds!,Có & Birds!,Gustavo Duarte,-,Homem,Brasil,2018,3,HQ,80,Quadrinhos na Cia,físico
Bitter Virgin #1,Bitter Virgin #1,Kusunoki Kei,,Mulher,Japão,2018,4,Mangá,210,Square Enix,online
Bitter Virgin #2,Bitter Virgin #2,Kusunoki Kei,,Mulher,Japão,2018,4,Mangá,210,Square Enix,online
Bitter Virgin #3,Bitter Virgin #3,Kusunoki Kei,,Mulher,Japão,2018,4,Mangá,210,Square Enix,online
Bitter Virgin #4,Bitter Virgin #4,Kusunoki Kei,,Mulher,Japão,2018,4,Mangá,210,Square Enix,online
Orange #1,Orange #1,Ichigo Takano,,Mulher,Japão,2018,4,Mangá,224,JBC,online
Orange #2,Orange #2,Ichigo Takano,,Mulher,Japão,2018,4,Mangá,208,JBC,online
Orange #3,Orange #3,Ichigo Takano,,Mulher,Japão,2018,4,Mangá,200,JBC,online
Orange #4,Orange #4,Ichigo Takano,,Mulher,Japão,2018,4,Mangá,200,JBC,online
Orange #5,Orange #5,Ichigo Takano,,Mulher,Japão,2018,4,Mangá,248,JBC,online
Suicide Club,Suicide Club,Usamaru Furuya,,Homem,Japão,2018,3,Mangá,200,NewPop,físico
Pétalas,Pétalas,Gustavo Borges,-,Homem,Brasil,2018,5,HQ,56,Tambor Quadrinhos,físico
O muro,Le muret,Céline Fraipont,,Mulher,Bélgica,2018,5,HQ,192,Nemo,físico
Assassination Classroom #6,Assassination Classroom #6,Yusei Matsui,,Homem,Japão,2018,5,Mangá,200,Panini,físico
